検索クエリ,関連度,検索時間差,検索時間差の標準誤差,重複UU,ログインUU,男性ログインUU,女性ログインUU,10代以下ログインUU,20代ログインUU,30代ログインUU,40代ログインUU,50代ログインUU,60代ログインUU,70代以上ログインUU
熟,3.805,0.0,6.548,272,4671,3269,1158,43,115,394,1065,1476,880,553
塾ナビ 5000円,3.752,2.832,5.717,272,4925,973,3774,36,18,340,2909,1481,60,35
塾 費用,3.75,0.0,5.292,206,3737,1428,2149,72,160,1007,1890,450,51,44
塾 英語,3.709,0.0,2.733,606,11449,3715,6937,643,984,1276,4898,2450,481,313
塾ナビ,3.636,0.0,3.69,667,13556,3989,9021,173,284,1258,7529,3632,352,147
じゅくじょ,3.557,-35.004,6.764,331,7286,6051,857,57,94,238,744,1502,2169,2219
熟年夫婦の交換,3.543,6.201,7.967,183,4083,3523,417,2,15,53,140,524,1672,1573
熟年夫婦の,3.518,-0.018,7.28,215,4921,4009,708,10,31,95,234,746,1716,1953
熟年,3.476,0.0,4.167,590,14081,11031,2359,15,103,268,854,3678,5142,3541
ジュクじょや 東大阪,3.418,-1.248,12.082,124,3135,2757,240,10,75,156,526,813,849,612
学習塾,3.409,-0.0,6.232,252,6430,2933,3152,45,197,769,2630,1602,664,364
jyukujyo,3.402,-102.753,8.775,197,5063,4558,419,6,28,113,357,1095,1686,1735
塾女性雑誌50 動画,3.382,-43.96,8.956,140,3671,3134,374,8,42,67,254,920,1220,1039
夏期講習 中学生,3.28,-21.621,10.255,107,3106,539,2372,37,17,235,1917,765,37,21
熟年夫婦の夜,3.276,0.0,4.063,598,17434,13433,3065,23,103,289,1070,3584,6170,5505
熟睡,3.246,0.0,8.463,104,3124,1436,1481,41,218,482,688,806,476,289
冬期講習,3.176,0.021,9.015,123,3963,971,2723,111,101,499,2251,775,66,45
ヒーローズ 塾,3.131,-0.002,10.179,121,4077,863,2954,111,120,500,2401,750,47,34
学習塾 ランキング,3.12,0.0,9.533,94,3201,1524,1508,17,60,359,1122,823,465,281
個別指導塾,3.11,-0.007,3.845,840,28911,7467,19583,464,521,2892,15809,7187,864,372
トライプラス,3.099,1.147,7.918,188,6542,2078,4026,236,281,588,3289,1620,249,81
明光義塾 口コミ,3.098,0.915,9.4,138,4803,869,3621,116,46,494,2891,1004,82,36
ナビ個別指導学院 料金,3.069,0.01,9.345,141,5053,1058,3713,99,95,882,3012,781,55,23
トライプラス 料金,3.061,-0.225,7.11,133,4807,973,3582,74,45,575,2983,956,60,23
夏期講習 中学生 料金,3.037,-17.412,10.005,149,5515,1159,4075,46,32,604,3558,1077,54,45
