検索クエリ,関連度,検索時間差,検索時間差の標準誤差,重複UU,ログインUU,男性ログインUU,女性ログインUU,10代以下ログインUU,20代ログインUU,30代ログインUU,40代ログインUU,50代ログインUU,60代ログインUU,70代以上ログインUU
塾 夏期講習 料金 相場,5.088,1.581,21.276,18,1002,188,750,9,15,192,597,155,12,4
塾費用 平均,5.032,3.94,34.591,10,589,230,330,6,12,94,317,112,21,20
塾 いつから通わせる,4.984,-0.0,13.572,34,2101,267,1713,11,15,683,1245,95,7,6
塾 成績上がらない,4.675,-0.003,11.162,30,2525,477,1898,32,33,307,1660,402,18,15
塾代 相場,4.539,0.271,22.118,23,2218,653,1470,21,46,556,1217,291,29,27
塾代,4.367,-0.001,21.107,15,1718,446,1178,16,31,426,908,247,33,25
中学 塾 費用,4.356,-0.176,17.279,16,1853,595,1182,10,23,425,1156,197,10,12
高校 私立 学費,4.109,48.873,35.639,11,1631,612,955,10,89,560,800,132,15,5
小学生 塾 月謝 相場,4.109,-26.136,29.413,10,1482,534,892,3,22,456,820,123,28,12
野田塾 月謝,4.055,0.003,22.254,13,2033,434,1509,21,18,315,1303,296,18,26
習い事 費用 平均,4.05,-3.349,36.36,10,1573,404,1099,12,40,596,763,94,37,13
中学生 塾代,4.038,23.662,32.38,10,1591,376,1138,5,15,365,989,165,17,10
夏期講習 中学生 料金,3.958,1.437,25.463,32,5515,1159,4075,46,32,604,3558,1077,54,45
教育費 シュミレーション,3.933,-2.262,25.186,18,3180,1137,1913,6,134,1296,1345,266,65,36
中学生 塾,3.921,-0.001,19.677,24,4293,1095,3014,41,41,629,2767,686,39,35
学習塾 月謝,3.891,-22.628,47.36,10,1843,825,940,8,31,305,836,393,144,90
中学受験 塾 費用,3.793,70.892,23.874,12,2441,615,1741,6,32,697,1418,213,36,15
塾,3.75,-0.0,5.292,206,43721,16340,24085,1011,940,3761,17205,11713,4035,3142
ナビ個別指導学院 口コミ,3.73,2.114,15.205,11,2381,444,1788,34,52,343,1368,455,40,18
夏期講習 中学生,3.706,0.034,31.443,14,3106,539,2372,37,17,235,1917,765,37,21
家庭教師 相場,3.646,0.002,16.029,27,6359,2001,4023,90,258,838,3137,1467,290,118
トライ 個別指導 料金,3.638,8.941,15.842,20,4747,1051,3409,138,67,391,2596,1330,63,38
トライプラス 料金,3.626,0.644,24.496,20,4807,973,3582,74,45,575,2983,956,60,23
高校受験 塾 いつから,3.533,-3.905,15.274,13,3428,390,2826,31,20,483,2320,437,21,30
高校 学費,3.532,-0.923,34.11,16,4222,1834,2177,60,232,1492,1900,368,44,38
中学生 勉強方法,3.524,-0.032,20.49,17,4523,1179,2988,142,38,398,2663,907,96,73
栄光ゼミナール 料金,3.514,10.599,22.862,16,4302,901,3176,53,47,613,2672,753,45,38
オンライン 塾,3.506,26.989,26.067,11,2980,777,2070,31,48,521,1794,472,46,35
臨海セミナー 料金,3.492,0.004,26.29,17,4671,895,3522,90,56,680,2945,744,39,22
高校 授業料,3.484,21.048,47.095,10,2770,1237,1400,21,125,785,1343,368,57,23
小学生 塾,3.483,0.002,22.268,25,6929,1939,4613,79,159,1769,3612,733,215,194
塾代補助金,3.449,-0.003,12.87,35,10042,3202,6494,46,62,2232,6066,1345,116,64
早稲田アカデミー 料金,3.437,7.217,28.041,18,5226,1082,3889,47,41,884,3343,697,74,53
明光義塾 料金,3.398,0.001,13.29,65,19621,3435,14928,383,230,2891,12146,3070,232,151
高校生 塾 費用,3.372,0.531,21.842,10,3098,840,2075,64,43,248,1835,782,31,24
ナビ個別指導学院 料金,3.353,0.009,18.63,16,5053,1058,3713,99,95,882,3012,781,55,23
個別指導,3.329,0.017,31.761,12,3882,1329,2308,63,132,430,1954,963,175,71
森塾 口コミ,3.309,8.489,22.135,20,6595,1045,5171,81,53,551,3962,1648,101,53
佐鳴予備校 月謝,3.308,0.001,20.234,19,6276,1622,4294,91,70,996,3823,891,119,100
内申点 オール3 偏差値,3.308,21.901,39.972,15,4955,962,3593,148,53,345,3003,1112,43,45
オンライン塾,3.285,0.005,8.675,13,4391,1110,2979,194,150,615,2380,817,79,38
明光義塾 口コミ,3.27,2.959,22.539,14,4803,869,3621,116,46,494,2891,1004,82,36
中学生 勉強 親の関わり方,3.24,-11.146,29.608,30,10602,2172,7728,63,34,798,6974,2175,132,128
大学 費用 4年間,3.23,1.609,31.251,16,5713,2249,3192,60,237,1578,2829,811,63,38
大学受験 塾 費用,3.227,0.028,21.77,12,4297,1087,2931,104,68,307,2420,1191,62,37
高校受験 塾,3.214,-1.595,24.465,17,6167,1642,4200,104,73,505,3804,1371,92,80
代々木個別指導学院,3.208,-0.071,16.851,17,6203,1611,4211,237,258,442,3254,1668,120,64
塾 英語,3.196,-0.0,8.383,31,11449,3715,6937,643,984,1276,4898,2450,481,313
ヒーローズ 塾,3.193,0.503,36.683,11,4077,863,2954,111,120,500,2401,750,47,34
シングルマザー 年収,3.177,-27.122,57.637,10,3764,403,3185,19,149,1374,1651,398,85,19
塾ナビ 5000円,3.171,2.426,24.632,13,4925,973,3774,36,18,340,2909,1481,60,35
進研ゼミ中学講座 退会,3.162,72.519,40.087,12,4585,697,3641,28,7,346,3187,885,25,17
塾講師 年収,3.12,0.428,20.811,13,5182,2236,2570,210,831,1139,1756,798,196,52
高校入学 費用,3.096,5.135,32.702,13,5307,1618,3438,36,105,1624,2731,577,66,73
夏期講習,3.055,0.006,32.921,15,6380,2422,3557,157,215,914,3257,1341,226,91
中学 英語,3.042,-13.088,45.317,10,4310,1451,2553,160,311,605,2008,862,126,83
家庭教師のトライ 料金表,3.019,25.075,18.047,14,6175,1472,4415,80,108,743,3419,1453,181,75
0120996652,3.015,-5.126,26.541,14,6196,1647,4235,30,16,771,4397,818,36,23
個別指導塾,2.995,0.02,12.436,64,28911,7467,19583,464,521,2892,15809,7187,864,372
高校 無償化 所得制限,2.994,-2.305,24.182,29,13110,4685,7930,53,149,2900,7462,2112,196,95
予備校 費用,2.991,0.006,17.571,28,12698,4309,7543,414,362,635,5831,4528,345,189
私立高校 学費,2.988,0.023,16.318,49,22274,8303,12754,297,632,3553,12285,4016,541,381
学習塾,2.978,1.974,36.837,14,6430,2933,3152,45,197,769,2630,1602,664,364
サイドfire,2.954,20.496,53.615,10,4707,2794,1773,8,395,1696,1646,685,183,53
大学 入学金,2.95,-20.47,38.162,12,5666,1997,3419,110,225,1286,2700,1140,83,31
スクールie 料金,2.949,-0.024,23.91,19,8982,2108,6401,144,120,1385,5335,1645,131,48
大学 学費,2.943,0.009,18.575,44,20923,7758,12095,532,936,3971,10769,3808,299,159
泳力検定,2.94,-24.605,43.37,10,4772,1224,3305,88,204,865,2800,571,92,58
