検索クエリ,関連度,検索時間差,検索時間差の標準誤差,重複UU,ログインUU,男性ログインUU,女性ログインUU,10代以下ログインUU,20代ログインUU,30代ログインUU,40代ログインUU,50代ログインUU,60代ログインUU,70代以上ログインUU
奨学金 申し込み 期限 2022,4.047,0.001,4.234,519,1781,588,1081,89,110,77,867,559,26,9
奨学金給付型,4.031,0.723,5.419,471,1642,409,1124,51,71,55,728,597,75,15
奨学金 高校,4.025,0.001,2.361,461,1617,476,1067,43,66,301,877,258,21,19
奨学金シュミレーション,3.991,0.12,4.872,665,2414,587,1679,87,111,76,1194,820,49,14
奨学金とは わかりやすく,3.981,0.0,1.992,928,3401,1199,1960,83,91,284,1753,914,98,48
奨学金 シュミレーション,3.892,0.008,4.062,702,2813,733,1908,94,219,219,1337,828,36,19
奨学金とは,3.76,0.0,1.645,1361,6219,2388,3249,431,623,906,2458,1229,159,71
奨学金 利率 どっち,3.734,0.174,5.386,681,3195,858,2165,92,161,118,1613,1095,38,16
奨学金 保証人 機関保証,3.734,0.057,5.998,421,1975,595,1281,16,63,166,923,691,59,22
奨学金 日本学生支援機構,3.732,0.0,5.551,373,1754,586,1079,40,182,392,666,406,30,7
奨学金 ログイン,3.72,0.001,3.655,440,2093,897,1118,38,762,973,175,88,27,11
奨学金 給付型,3.7,0.0,1.549,5569,27022,5147,20307,662,1093,920,12984,9639,756,340
奨学金 保証人,3.7,0.001,2.488,2132,10353,3520,6312,99,312,874,4762,3557,421,139
奨学金 種類,3.692,0.001,4.231,398,1947,741,1052,98,258,218,794,450,47,8
入学時特別増額貸与奨学金,3.679,0.936,6.299,512,2539,806,1572,162,143,121,1291,684,42,24
奨学金 大学,3.661,0.0,3.235,673,3397,1219,1987,121,178,325,1767,866,46,24
奨学金振込日,3.639,0.12,6.788,466,2405,641,1633,33,391,86,848,885,99,15
奨学金 振込み日,3.617,0.0,1.919,6432,33916,9892,22023,621,6203,1324,11352,12308,956,261
国の教育ローン 審査落ち,3.609,6.787,5.378,530,2817,725,1978,23,61,181,1445,976,66,22
奨学金 所得制限,3.596,0.001,1.746,3621,19500,6243,12238,193,355,1325,9228,7185,596,211
奨学金 機関保証料,3.595,4.731,6.731,403,2172,686,1373,51,151,182,1032,665,46,12
奨学金 第1種と第2種,3.58,0.008,5.722,425,2326,675,1520,99,298,179,994,658,35,12
奨学金 スカラネット,3.553,0.001,1.419,7145,40167,13648,24577,707,8516,11385,8550,8576,1386,341
奨学金 継続手続き,3.552,0.081,2.763,1413,7951,2081,5333,115,809,80,3032,3511,129,47
国の教育ローン 申込,3.552,4.977,5.157,607,3416,906,2383,63,78,129,1601,1369,102,25
奨学金 金利,3.544,0.001,1.955,2387,13549,8665,4382,86,956,2181,5165,4075,669,216
奨学金 連帯保証人,3.534,0.007,7.072,283,1622,632,913,23,115,270,702,420,55,7
ろうきん教育ローン,3.529,1.353,6.026,468,2696,1329,1223,11,31,73,1283,1111,97,16
奨学金制度,3.52,0.0,4.584,525,3052,1313,1525,76,214,305,1215,890,168,93
大学奨学金,3.501,-0.031,6.262,390,2311,839,1319,51,49,102,1048,870,87,39
教育ローン 奨学金,3.494,0.043,6.226,291,1735,531,1111,31,124,170,878,454,32,11
奨学金 無利子 条件,3.466,0.002,5.632,315,1933,627,1187,47,185,302,846,471,29,14
スカラネット 予約採用,3.464,1.304,8.216,320,1967,496,1332,181,42,59,865,683,59,15
教育ローン 国,3.462,0.013,5.314,474,2918,1286,1508,22,68,196,1507,951,95,23
奨学金継続願,3.458,1.087,5.834,383,2367,857,1342,57,550,50,715,830,71,21
