検索クエリ,関連度,検索時間差,検索時間差の標準誤差,重複UU,ログインUU,男性ログインUU,女性ログインUU,10代以下ログインUU,20代ログインUU,30代ログインUU,40代ログインUU,50代ログインUU,60代ログインUU,70代以上ログインUU
教育費 足りない,6.152,0.029,16.555,35,766,140,580,4,11,101,434,185,8,4
教育費 シュミレーション,5.891,-0.001,8.531,112,3180,1137,1913,6,134,1296,1345,266,65,36
教育費 無償化,5.834,0.001,14.908,28,842,442,359,16,53,218,269,154,81,31
教育費 貯め方,5.787,0.0,14.679,32,1009,234,736,4,50,486,377,60,11,6
教育費 平均,5.73,-0.005,12.847,60,2002,944,959,21,222,650,790,230,37,16
教育費 大学まで,5.393,0.0,16.916,49,2290,1096,1092,15,162,703,810,364,150,53
教育費 いつまでにいくら,5.304,-0.002,14.796,52,2657,468,2091,8,85,1205,1149,126,33,23
教育資金,5.015,-2.985,14.398,31,2115,885,1136,4,113,649,709,420,118,69
教育費 贈与,4.968,0.0,3.116,19,1359,608,688,2,20,136,457,446,157,112
学費 平均,4.94,-0.015,27.782,17,1250,572,617,21,86,428,506,157,18,16
学費,4.815,-0.001,9.888,49,4082,1740,2089,92,224,720,1486,1007,299,144
教育資金 貯め方,4.385,-2.236,26.009,18,2305,747,1468,1,174,1139,778,128,37,22
塾代,4.354,0.096,24.493,13,1718,446,1178,16,31,426,908,247,33,25
子供の教育費,4.318,-0.556,29.948,10,1370,483,802,12,98,401,532,206,57,31
子供 教育費 目安,4.19,-0.031,31.919,16,2491,986,1423,13,175,1233,881,138,22,6
大学 費用,4.112,0.548,19.836,14,2356,961,1289,29,124,688,1116,319,25,20
高校 学費,4.068,-0.003,11.56,24,4222,1834,2177,60,232,1492,1900,368,44,38
小学校 学費,3.861,0.004,15.939,13,2811,1393,1320,10,253,1605,786,79,23,21
大学費用,3.816,0.168,21.918,20,4524,1531,2737,52,158,942,2284,866,82,36
ライフプラン,3.803,-21.512,15.586,34,7795,4086,3379,68,1066,2314,2021,1524,543,130
子育て罰,3.72,23.5,28.886,13,3237,1060,1995,14,101,964,1385,511,145,62
養育費,3.708,-0.0,5.865,61,15377,7034,7774,56,1244,5304,5717,2018,597,255
家計管理,3.659,-4.04,31.364,12,3175,603,2405,13,275,1183,1053,474,96,29
家計診断,3.619,-11.824,31.883,13,3583,771,2680,8,82,1039,1655,582,133,44
子供にかかるお金,3.56,-11.569,31.816,16,4676,1834,2611,44,835,1941,1171,437,117,38
ライフプラン 表,3.558,-0.086,26.918,15,4392,1700,2513,29,373,1326,1211,980,359,62
子供2人 年収,3.516,32.622,38.79,11,3360,1386,1856,15,527,1994,632,90,37,18
住宅ローン シミュレーション,3.514,8.239,21.13,20,6122,4149,1850,7,455,3005,1924,492,154,61
学費 払えない,3.513,7.484,24.429,10,3062,859,1999,65,278,262,1327,940,74,24
断熱等級,3.503,11.397,38.673,10,3094,2357,660,2,174,1140,1003,463,203,71
ライフプラン シミュレーション,3.455,-4.032,23.65,27,8761,2441,6010,13,622,3736,3062,986,193,47
家族3人 生活費 平均,3.405,0.01,15.685,10,3412,1134,2117,11,209,1202,1263,545,98,24
