gender,age,percentage
male,from70,53.9
male,from65to69,13.7
male,from60to64,9.5
male,from55to59,9.5
male,from50to54,2.4
male,from45to49,1.6
female,from70,1.5
male,from40to44,1.4
male,from30to34,1.2
male,from25to29,1.1
unknown,unknown,1.1
male,from20to24,1.0
male,from35to39,1.0
male,from15to19,0.7
female,from55to59,0.3
male,from0to14,0.0
female,from0to14,0.0
female,from15to19,0.0
female,from20to24,0.0
female,from25to29,0.0
female,from30to34,0.0
female,from35to39,0.0
female,from40to44,0.0
female,from45to49,0.0
female,from50to54,0.0
female,from60to64,0.0
female,from65to69,0.0
