gender,age,percentage
female,from60to64,27.9
female,from55to59,20.0
male,from60to64,11.8
male,from55to59,10.3
unknown,unknown,7.9
female,from65to69,4.4
male,from65to69,4.4
female,from50to54,3.7
male,from50to54,2.7
female,from45to49,2.0
male,from45to49,1.9
female,from40to44,1.8
female,from35to39,1.3
male,from0to14,0.0
male,from15to19,0.0
male,from20to24,0.0
male,from25to29,0.0
male,from30to34,0.0
male,from35to39,0.0
male,from40to44,0.0
male,from70,0.0
female,from0to14,0.0
female,from15to19,0.0
female,from20to24,0.0
female,from25to29,0.0
female,from30to34,0.0
female,from70,0.0
