date,総合型選抜
2021-09-19,25
2021-09-26,26
2021-10-03,25
2021-10-10,22
2021-10-17,21
2021-10-24,18
2021-10-31,26
2021-11-07,14
2021-11-14,15
2021-11-21,12
2021-11-28,12
2021-12-05,11
2021-12-12,11
2021-12-19,9
2021-12-26,4
2022-01-02,6
2022-01-09,7
2022-01-16,10
2022-01-23,9
2022-01-30,8
2022-02-06,11
2022-02-13,10
2022-02-20,9
2022-02-27,9
2022-03-06,8
2022-03-13,11
2022-03-20,9
2022-03-27,8
2022-04-03,13
2022-04-10,16
2022-04-17,15
2022-04-24,12
2022-05-01,10
2022-05-08,13
2022-05-15,12
2022-05-22,12
2022-05-29,14
2022-06-05,18
2022-06-12,20
2022-06-19,22
2022-06-26,18
2022-07-03,19
2022-07-10,27
2022-07-17,32
2022-07-24,30
2022-07-31,26
2022-08-07,21
2022-08-14,26
2022-08-21,37
2022-08-28,44
2022-09-04,40
2022-09-11,41
2022-09-18,34
2022-09-25,41
2022-10-02,41
2022-10-09,37
2022-10-16,31
2022-10-23,28
2022-10-30,45
2022-11-06,21
2022-11-13,20
2022-11-20,16
2022-11-27,18
2022-12-04,14
2022-12-11,15
2022-12-18,11
2022-12-25,6
2023-01-01,9
2023-01-08,13
2023-01-15,16
2023-01-22,11
2023-01-29,14
2023-02-05,16
2023-02-12,16
2023-02-19,11
2023-02-26,11
2023-03-05,11
2023-03-12,13
2023-03-19,12
2023-03-26,10
2023-04-02,13
2023-04-09,20
2023-04-16,21
2023-04-23,16
2023-04-30,11
2023-05-07,18
2023-05-14,17
2023-05-21,17
2023-05-28,20
2023-06-04,24
2023-06-11,26
2023-06-18,27
2023-06-25,26
2023-07-02,26
2023-07-09,33
2023-07-16,42
2023-07-23,40
2023-07-30,34
2023-08-06,29
2023-08-13,29
2023-08-20,42
2023-08-27,55
2023-09-03,52
2023-09-10,47
2023-09-17,43
2023-09-24,47
2023-10-01,50
2023-10-08,44
2023-10-15,44
2023-10-22,35
2023-10-29,56
2023-11-05,32
2023-11-12,29
2023-11-19,22
2023-11-26,23
2023-12-03,20
2023-12-10,19
2023-12-17,15
2023-12-24,9
2023-12-31,8
2024-01-07,15
2024-01-14,18
2024-01-21,16
2024-01-28,15
2024-02-04,20
2024-02-11,18
2024-02-18,15
2024-02-25,15
2024-03-03,15
2024-03-10,17
2024-03-17,17
2024-03-24,14
2024-03-31,16
2024-04-07,27
2024-04-14,26
2024-04-21,23
2024-04-28,17
2024-05-05,23
2024-05-12,23
2024-05-19,23
2024-05-26,25
2024-06-02,30
2024-06-09,34
2024-06-16,36
2024-06-23,33
2024-06-30,31
2024-07-07,43
2024-07-14,52
2024-07-21,51
2024-07-28,44
2024-08-04,41
2024-08-11,29
2024-08-18,52
2024-08-25,55
2024-09-01,75
2024-09-08,61
2024-09-15,53
2024-09-22,57
2024-09-29,58
2024-10-06,56
2024-10-13,51
2024-10-20,46
2024-10-27,68
2024-11-03,43
2024-11-10,37
2024-11-17,32
2024-11-24,25
2024-12-01,31
2024-12-08,25
2024-12-15,21
2024-12-22,15
2024-12-29,10
2025-01-05,20
2025-01-12,19
2025-01-19,23
2025-01-26,20
2025-02-02,21
2025-02-09,22
2025-02-16,19
2025-02-23,17
2025-03-02,17
2025-03-09,22
2025-03-16,22
2025-03-23,18
2025-03-30,20
2025-04-06,33
2025-04-13,34
2025-04-20,32
2025-04-27,25
2025-05-04,25
2025-05-11,32
2025-05-18,28
2025-05-25,31
2025-06-01,35
2025-06-08,39
2025-06-15,42
2025-06-22,42
2025-06-29,40
2025-07-06,50
2025-07-13,68
2025-07-20,60
2025-07-27,61
2025-08-03,54
2025-08-10,33
2025-08-17,61
2025-08-24,73
2025-08-31,83
2025-09-07,71
2025-09-14,66
2025-09-21,67
2025-09-28,72
2025-10-05,69
2025-10-12,60
2025-10-19,56
2025-10-26,70
2025-11-02,69
2025-11-09,47
2025-11-16,44
2025-11-23,35
2025-11-30,38
2025-12-07,32
2025-12-14,28
2025-12-21,21
2025-12-28,12
2026-01-04,20
2026-01-11,22
2026-01-18,28
2026-01-25,23
2026-02-01,23
2026-02-08,27
2026-02-15,23
2026-02-22,21
2026-03-01,19
2026-03-08,23
2026-03-15,24
2026-03-22,20
2026-03-29,21
2026-04-05,32
2026-04-12,35
2026-04-19,34
2026-04-26,27
2026-05-03,28
2026-05-10,33
2026-05-17,32
2026-05-24,34
2026-05-31,41
2026-06-07,47
2026-06-14,46
2026-06-21,44
2026-06-28,43
2026-07-05,62
2026-07-12,79
2026-07-19,73
2026-07-26,71
2026-08-02,64
2026-08-09,44
2026-08-16,71
2026-08-23,88
2026-08-30,100
2026-09-06,80
2026-09-13,77
2026-09-20,40
