"Time","相続"
"2021-08-01",62
"2021-09-01",65
"2021-10-01",65
"2021-11-01",67
"2021-12-01",64
"2022-01-01",74
"2022-02-01",75
"2022-03-01",69
"2022-04-01",69
"2022-05-01",71
"2022-06-01",69
"2022-07-01",61
"2022-08-01",72
"2022-09-01",72
"2022-10-01",71
"2022-11-01",72
"2022-12-01",66
"2023-01-01",78
"2023-02-01",83
"2023-03-01",76
"2023-04-01",84
"2023-05-01",85
"2023-06-01",83
"2023-07-01",78
"2023-08-01",78
"2023-09-01",83
"2023-10-01",84
"2023-11-01",92
"2023-12-01",86
"2024-01-01",93
"2024-02-01",93
"2024-03-01",91
"2024-04-01",84
"2024-05-01",84
"2024-06-01",83
"2024-07-01",78
"2024-08-01",76
"2024-09-01",82
"2024-10-01",88
"2024-11-01",85
"2024-12-01",82
"2025-01-01",95
"2025-02-01",99
"2025-03-01",93
"2025-04-01",87
"2025-05-01",79
"2025-06-01",81
"2025-07-01",80
"2025-08-01",82
"2025-09-01",85
"2025-10-01",88
"2025-11-01",84
"2025-12-01",84
"2026-01-01",98
"2026-02-01",96
"2026-03-01",93
"2026-04-01",100
"2026-05-01",94
"2026-06-01",91
"2026-07-01",95
"2026-08-01",92
