"Time","賃貸","引っ越し","一人暮らし","内見"
"2025-08-24",87,15,15,1
"2025-08-31",81,14,15,1
"2025-09-07",82,13,15,1
"2025-09-14",86,15,16,1
"2025-09-21",86,17,16,1
"2025-09-28",82,16,15,1
"2025-10-05",71,14,15,1
"2025-10-12",74,14,15,1
"2025-10-19",73,14,14,1
"2025-10-26",73,14,15,1
"2025-11-02",77,14,15,1
"2025-11-09",79,15,16,1
"2025-11-16",79,15,15,1
"2025-11-23",76,14,16,1
"2025-11-30",77,14,16,1
"2025-12-07",73,15,16,1
"2025-12-14",74,14,15,1
"2025-12-21",67,13,14,1
"2025-12-28",60,10,15,1
"2026-01-04",87,16,18,2
"2026-01-11",93,17,18,2
"2026-01-18",90,18,20,1
"2026-01-25",92,19,19,1
"2026-02-01",92,19,17,1
"2026-02-08",89,18,18,1
"2026-02-15",95,19,19,1
"2026-02-22",95,20,18,1
"2026-03-01",91,20,19,1
"2026-03-08",86,21,20,1
"2026-03-15",83,22,20,1
"2026-03-22",87,21,20,1
"2026-03-29",80,18,19,1
"2026-04-05",80,15,18,1
"2026-04-12",79,15,16,1
"2026-04-19",78,14,15,1
"2026-04-26",70,13,14,1
"2026-05-03",75,12,16,1
"2026-05-10",79,14,15,1
"2026-05-17",78,13,15,1
"2026-05-24",75,13,15,1
"2026-05-31",74,14,14,1
"2026-06-07",77,13,14,1
"2026-06-14",74,13,14,1
"2026-06-21",68,14,14,1
"2026-06-28",71,13,15,1
"2026-07-05",100,13,16,1
"2026-07-12",86,13,15,1
"2026-07-19",78,12,14,1
"2026-07-26",79,13,14,1
"2026-08-02",78,12,14,1
"2026-08-09",78,12,13,1
"2026-08-16",84,13,15,1
"2026-08-23",96,14,17,1
