"Time","土地活用","アパート経営","空室","確定申告"
"2025-08-24",0,0,1,5
"2025-08-31",0,0,1,4
"2025-09-07",0,0,1,5
"2025-09-14",0,0,1,5
"2025-09-21",0,0,1,6
"2025-09-28",0,0,1,6
"2025-10-05",0,0,1,5
"2025-10-12",0,0,1,6
"2025-10-19",0,0,1,8
"2025-10-26",0,0,1,10
"2025-11-02",0,0,1,12
"2025-11-09",0,0,1,13
"2025-11-16",0,0,1,11
"2025-11-23",0,0,1,10
"2025-11-30",0,0,1,10
"2025-12-07",0,0,1,9
"2025-12-14",0,0,1,11
"2025-12-21",0,0,1,12
"2025-12-28",0,0,1,10
"2026-01-04",0,0,1,22
"2026-01-11",0,0,1,27
"2026-01-18",0,0,1,34
"2026-01-25",0,0,1,36
"2026-02-01",0,0,1,46
"2026-02-08",0,0,1,52
"2026-02-15",0,0,1,77
"2026-02-22",0,0,1,74
"2026-03-01",0,0,1,90
"2026-03-08",0,0,1,100
"2026-03-15",0,0,1,44
"2026-03-22",0,0,1,11
"2026-03-29",0,0,1,9
"2026-04-05",0,0,1,7
"2026-04-12",0,0,1,7
"2026-04-19",0,0,1,6
"2026-04-26",0,0,1,5
"2026-05-03",0,0,1,4
"2026-05-10",0,0,1,5
"2026-05-17",0,0,1,5
"2026-05-24",0,0,1,6
"2026-05-31",0,0,1,5
"2026-06-07",0,0,1,5
"2026-06-14",0,0,1,6
"2026-06-21",0,0,1,5
"2026-06-28",0,0,1,5
"2026-07-05",0,0,1,4
"2026-07-12",0,0,1,4
"2026-07-19",0,0,1,4
"2026-07-26",0,0,1,3
"2026-08-02",0,0,1,3
"2026-08-09",0,0,1,3
"2026-08-16",0,0,1,4
"2026-08-23",0,0,1,4
