"Time","オープンキャンパス"
"2021-09-01",13
"2021-10-01",8
"2021-11-01",5
"2021-12-01",3
"2022-01-01",3
"2022-02-01",4
"2022-03-01",12
"2022-04-01",12
"2022-05-01",18
"2022-06-01",42
"2022-07-01",100
"2022-08-01",60
"2022-09-01",15
"2022-10-01",9
"2022-11-01",6
"2022-12-01",3
"2023-01-01",3
"2023-02-01",6
"2023-03-01",12
"2023-04-01",14
"2023-05-01",20
"2023-06-01",46
"2023-07-01",94
"2023-08-01",64
"2023-09-01",13
"2023-10-01",9
"2023-11-01",6
"2023-12-01",4
"2024-01-01",3
"2024-02-01",5
"2024-03-01",11
"2024-04-01",13
"2024-05-01",18
"2024-06-01",36
"2024-07-01",80
"2024-08-01",53
"2024-09-01",12
"2024-10-01",9
"2024-11-01",5
"2024-12-01",3
"2025-01-01",4
"2025-02-01",6
"2025-03-01",12
"2025-04-01",14
"2025-05-01",20
"2025-06-01",42
"2025-07-01",85
"2025-08-01",58
"2025-09-01",12
"2025-10-01",8
"2025-11-01",5
"2025-12-01",4
"2026-01-01",5
"2026-02-01",6
"2026-03-01",13
"2026-04-01",13
"2026-05-01",21
"2026-06-01",39
"2026-07-01",90
"2026-08-01",51
"2026-09-01",14
