"Time","総合型選抜","学校推薦型選抜","指定校推薦"
"2024-12-29",12,5,16
"2025-01-05",24,7,24
"2025-01-12",22,8,28
"2025-01-19",27,13,27
"2025-01-26",25,10,24
"2025-02-02",25,9,24
"2025-02-09",26,14,23
"2025-02-16",22,6,26
"2025-02-23",20,5,21
"2025-03-02",20,4,23
"2025-03-09",27,7,25
"2025-03-16",26,6,26
"2025-03-23",21,5,24
"2025-03-30",23,5,22
"2025-04-06",40,9,33
"2025-04-13",41,9,30
"2025-04-20",38,7,26
"2025-04-27",30,5,22
"2025-05-04",29,5,23
"2025-05-11",38,6,24
"2025-05-18",33,7,25
"2025-05-25",37,7,26
"2025-06-01",42,7,28
"2025-06-08",47,8,28
"2025-06-15",50,8,29
"2025-06-22",50,7,28
"2025-06-29",46,8,27
"2025-07-06",59,11,37
"2025-07-13",81,13,50
"2025-07-20",72,12,39
"2025-07-27",72,11,49
"2025-08-03",64,8,33
"2025-08-10",39,6,23
"2025-08-17",73,11,42
"2025-08-24",87,13,58
"2025-08-31",100,14,65
"2025-09-07",84,13,58
"2025-09-14",80,12,52
"2025-09-21",81,13,49
"2025-09-28",85,13,50
"2025-10-05",82,12,45
"2025-10-12",72,13,44
"2025-10-19",66,13,45
"2025-10-26",82,18,55
"2025-11-02",83,21,53
"2025-11-09",55,24,58
"2025-11-16",52,20,62
"2025-11-23",42,17,44
"2025-11-30",45,22,56
"2025-12-07",37,16,28
"2025-12-14",34,12,25
"2025-12-21",24,7,18
"2025-12-28",13,4,16
