"Time","大学受験","専門学校","共通テスト"
"2021-09-01",8,32,12
"2021-10-01",8,30,10
"2021-11-01",10,28,12
"2021-12-01",9,24,19
"2022-01-01",16,29,93
"2022-02-01",16,29,14
"2022-03-01",10,33,7
"2022-04-01",8,39,6
"2022-05-01",6,31,6
"2022-06-01",7,33,6
"2022-07-01",7,33,8
"2022-08-01",7,30,9
"2022-09-01",8,31,13
"2022-10-01",9,29,12
"2022-11-01",10,28,14
"2022-12-01",9,23,21
"2023-01-01",16,28,88
"2023-02-01",17,31,13
"2023-03-01",11,34,7
"2023-04-01",7,36,7
"2023-05-01",6,30,6
"2023-06-01",7,40,7
"2023-07-01",7,33,9
"2023-08-01",7,28,10
"2023-09-01",8,28,14
"2023-10-01",10,28,13
"2023-11-01",11,26,16
"2023-12-01",9,23,23
"2024-01-01",14,25,90
"2024-02-01",15,27,13
"2024-03-01",9,28,8
"2024-04-01",7,33,8
"2024-05-01",6,28,7
"2024-06-01",6,28,7
"2024-07-01",7,30,10
"2024-08-01",6,24,9
"2024-09-01",8,28,14
"2024-10-01",9,25,13
"2024-11-01",10,25,16
"2024-12-01",9,22,23
"2025-01-01",15,25,95
"2025-02-01",15,25,16
"2025-03-01",9,26,7
"2025-04-01",7,32,7
"2025-05-01",6,28,7
"2025-06-01",6,29,7
"2025-07-01",7,30,11
"2025-08-01",6,24,11
"2025-09-01",8,28,21
"2025-10-01",9,26,15
"2025-11-01",10,24,18
"2025-12-01",9,22,31
"2026-01-01",15,25,100
"2026-02-01",16,25,16
"2026-03-01",9,28,8
"2026-04-01",7,31,8
"2026-05-01",6,26,7
"2026-06-01",6,29,7
"2026-07-01",7,34,11
"2026-08-01",7,26,10
"2026-09-01",8,28,15
