"Time","夏期講習","冬期講習","春期講習"
"2025-12-28",3,19,3
"2026-01-04",3,14,4
"2026-01-11",5,4,7
"2026-01-18",4,3,8
"2026-01-25",5,2,9
"2026-02-01",5,2,13
"2026-02-08",6,2,15
"2026-02-15",5,1,16
"2026-02-22",6,1,20
"2026-03-01",6,1,19
"2026-03-08",8,1,23
"2026-03-15",8,1,26
"2026-03-22",9,1,34
"2026-03-29",11,0,19
"2026-04-05",11,0,5
"2026-04-12",13,0,1
"2026-04-19",16,0,1
"2026-04-26",22,0,1
"2026-05-03",26,1,0
"2026-05-10",35,0,0
"2026-05-17",35,1,1
"2026-05-24",44,1,1
"2026-05-31",55,1,1
"2026-06-07",60,0,0
"2026-06-14",63,1,0
"2026-06-21",67,0,0
"2026-06-28",78,0,0
"2026-07-05",93,1,0
"2026-07-12",100,1,0
"2026-07-19",97,1,1
"2026-07-26",69,1,0
"2026-08-02",49,2,1
"2026-08-09",34,2,0
"2026-08-16",32,3,0
"2026-08-23",21,3,1
"2026-08-30",11,5,0
"2026-09-06",6,7,1
"2026-09-13",4,7,0
