"Time","中学受験","大学受験","高校受験"
"2025-12-28",36,35,31
"2026-01-04",53,60,55
"2026-01-11",65,66,75
"2026-01-18",59,91,86
"2026-01-25",57,100,66
"2026-02-01",76,94,72
"2026-02-08",43,82,76
"2026-02-15",37,70,71
"2026-02-22",33,72,51
"2026-03-01",30,50,54
"2026-03-08",29,49,42
"2026-03-15",28,41,32
"2026-03-22",26,35,22
"2026-03-29",24,31,17
"2026-04-05",28,45,21
"2026-04-12",27,37,18
"2026-04-19",26,33,16
"2026-04-26",22,29,15
"2026-05-03",26,28,14
"2026-05-10",25,31,16
"2026-05-17",27,31,16
"2026-05-24",27,35,16
"2026-05-31",25,36,17
"2026-06-07",25,34,17
"2026-06-14",28,33,18
"2026-06-21",25,35,19
"2026-06-28",24,33,21
"2026-07-05",26,39,22
"2026-07-12",26,39,23
"2026-07-19",23,37,21
"2026-07-26",22,34,19
"2026-08-02",21,31,19
"2026-08-09",28,28,17
"2026-08-16",22,34,21
"2026-08-23",25,37,21
"2026-08-30",27,43,22
"2026-09-06",26,40,23
"2026-09-13",31,42,22
