所管|登録番号|登録年月日|金融商品取引業者名|法人番号|郵便番号|本店等所在地|代表等電話番号|業務の種別
||||||||第一種
金融庁
【計413者】|関東財務局長(金商)第16号|39355|ＢＮＰパリバ・アセットマネジメント株式会社|4010401061149|1006742|東京都千代田区丸の内１－９－１　グラントウキョウノースタワー|03-6377-2800|○
|関東財務局長(金商)第18号|39355|いちご地所株式会社|1010001125620|1006920|東京都千代田区丸の内２－６－１　丸の内パークビルディング20階|03-4485-5230|
|関東財務局長(金商)第44号|39355|株式会社ＳＢＩ証券|3010401049814|1066019|東京都港区六本木１－６－１|03-5562-7210|○
|関東財務局長(金商)第45号|39355|ジャパンネクスト証券株式会社|2010001139289|104-0031|東京都港区六本木３－１－１|03-4577-4040|○
|関東財務局長(金商)第51号|39355|エンサイドットコム証券株式会社|8010001082954|1010054|東京都千代田区神田錦町１－１６－１|03-3518-8011|○
|関東財務局長(金商)第53号|39355|岡三証券株式会社|5010001082560|1038278|東京都中央区日本橋室町二丁目２番１号|03-3272-2211|○
|関東財務局長(金商)第57号|39355|ジャナス・ヘンダーソン・インベスターズ・ジャパン株式会社|3010001012362|1000005|東京都千代田区丸の内１－６－５|03-5219-8000|
|関東財務局長(金商)第61号|39355|三菱UFJ eスマート証券株式会社|5010001066670|1006024|東京都千代田区霞が関３－２－５|03-4221-3551|○
|関東財務局長(金商)第69号|39355|ゴールドマン・サックス証券株式会社|9010401059056|105-5543|東京都港区虎ノ門２－６－１　虎ノ門ヒルズステーションタワー|03-4587-1000|○
|関東財務局長(金商)第79号|39355|ジェイ・ボンド東短証券株式会社|5010001139716|103-0022|東京都中央区日本橋室町４－４－１０　東短室町ビル９階|03-3548-9980|○
|関東財務局長(金商)第82号|39355|ＪＰモルガン証券株式会社|6010001095702|1006432|東京都千代田区丸の内２－７－３　東京ビルディング|03-6736-1111|○
|関東財務局長(金商)第90号|39355|シュローダー・インベストメント・マネジメント株式会社|6010001077097|1000005|東京都千代田区丸の内１－８－３　|03-5239-1500|
