第一種金融商品取引業者 計291社

ＢＮＰパリバ・アセットマネジメント株式会社|関東財務局長(金商)第16号|03-6377-2800
株式会社ＳＢＩ証券|関東財務局長(金商)第44号|03-5562-7210
ジャパンネクスト証券株式会社|関東財務局長(金商)第45号|03-4577-4040
エンサイドットコム証券株式会社|関東財務局長(金商)第51号|03-3518-8011
岡三証券株式会社|関東財務局長(金商)第53号|03-3272-2211
三菱UFJ eスマート証券株式会社|関東財務局長(金商)第61号|03-4221-3551
ゴールドマン・サックス証券株式会社|関東財務局長(金商)第69号|03-4587-1000
ジェイ・ボンド東短証券株式会社|関東財務局長(金商)第79号|03-3548-9980
ＪＰモルガン証券株式会社|関東財務局長(金商)第82号|03-6736-1111
しんきん証券株式会社|関東財務局長(金商)第93号|03-5250-1717
みずほ証券株式会社|関東財務局長(金商)第94号|03-5208-3210
セントラル東短証券株式会社|関東財務局長(金商)第104号|03-5202-7501
大和証券株式会社|関東財務局長(金商)第108号|03-5555-2111
ドイツ証券株式会社|関東財務局長(金商)第117号|03-6730-1000
シティグループ証券株式会社|関東財務局長(金商)第130号|03-6776-8800
日本相互証券株式会社|関東財務局長(金商)第136号|03-6260-7676
野村證券株式会社|関東財務局長(金商)第142号|03-3211-1811
バークレイズ証券株式会社|関東財務局長(金商)第143号|03-4530-1100
バンクオブニューヨークメロン証券株式会社|関東財務局長(金商)第147号|03-6756-4300
ブルームバーグ・トレードブック・ジャパン証券株式会社|関東財務局長(金商)第160号|03-4565-8900
松井証券株式会社|関東財務局長(金商)第164号|03-5216-0606
マネックス証券株式会社|関東財務局長(金商)第165号|03-4323-3800
ＢｏｆＡ証券株式会社|関東財務局長(金商)第186号|03-6225-7000
モルガン・スタンレーＭＵＦＧ証券株式会社|関東財務局長(金商)第188号|03-6836-5000
楽天証券株式会社|関東財務局長(金商)第195号|03-6739-1700
ナットウエスト・マーケッツ・セキュリティーズ・ジャパン・リミテッド（証券）|関東財務局長(金商)第202号|03-6266-3500
ＲＢＣキャピタルマーケッツ・ジャパン・リミテッド|関東財務局長(金商)第203号|03-4577-7000
クレディ・アグリコル・セキュリティーズ・アジア・ビー・ヴィ（東京支店）|関東財務局長(金商)第214号|03-4580-5900
ジェフリーズ・ジャパン・リミテッド（証券会社）|関東財務局長(金商)第220号|03-5251-6100
ＢＧＣショウケンカイシャリミテッド（東京支店）|関東財務局長(金商)第229号|03-4589-9100
マッコーリー・キャピタル・セキュリティーズ・ジャパン・リミテッド（東京支店）|関東財務局長(金商)第231号|03-3512-7900
アライアンス・バーンスタイン株式会社|関東財務局長(金商)第303号|03-5962-9000
インベスコ・アセット・マネジメント株式会社|関東財務局長(金商)第306号|03-6447-3000
ＨＳＢＣアセットマネジメント株式会社|関東財務局長(金商)第308号|03-3548-5690
ゴールドマン・サックス・アセット・マネジメント株式会社|関東財務局長(金商)第325号|03-4587-6000
ＪＰモルガン・アセット・マネジメント株式会社|関東財務局長(金商)第330号|03-6736-2000
ステート・ストリート・グローバル・アドバイザーズ株式会社|関東財務局長(金商)第345号|03-4530-7380
スパークス・アセット・マネジメント株式会社|関東財務局長(金商)第346号|03-6711-9200
アムンディ・ジャパン株式会社|関東財務局長(金商)第350号|050-4561-2400
ドイチェ・アセット・マネジメント株式会社|関東財務局長(金商)第359号|03-6730-1300
ブラックロック・ジャパン株式会社|関東財務局長(金商)第375号|03-6703-4100
ピクテ・ジャパン株式会社|関東財務局長(金商)第380号|03-3212-3411
モルガン・スタンレー・インベストメント・マネジメント株式会社|関東財務局長(金商)第410号|03－6836－5100
ＭＣＰアセット・マネジメント株式会社|関東財務局長(金商)第490号|03-6225-2011
ウェルズ・ファーゴ証券株式会社|関東財務局長(金商)第1655号|03-6870-7500
ソシエテ・ジェネラル証券株式会社|関東財務局長(金商)第1770号|03-6777-8000
ブラックストーン・グループ・ジャパン株式会社|関東財務局長(金商)第1785号|03-4577-8400
株式会社ＫＫＲキャピタル・マーケッツ|関東財務局長(金商)第1797号|03-6268-6666
エービーエヌ・アムロ・クリアリング証券株式会社|関東財務局長(金商)第1826号|03-5425-9945
株式会社上田トラディション証券|関東財務局長(金商)第2184号|03-6402-9061
ＳＭＢＣ日興証券株式会社|関東財務局長(金商)第2251号|03-5644-3111
三菱ＵＦＪモルガン・スタンレー証券株式会社|関東財務局長(金商)第2336号|03-6213-8500
ＢＮＰパリバ証券株式会社|関東財務局長(金商)第2521号|03-6377-2000
ナティクシス証券株式会社|関東財務局長(金商)第2527号|03-4519-2100
グリーンズレッジ・アジア・リミテッド|関東財務局長(金商)第2545号|03-6228-7350
ＵＢＳ証券株式会社|関東財務局長(金商)第2633号|03-5208-6000
野村ファイナンシャル・プロダクツ・サービシズ株式会社|関東財務局長(金商)第2665号|03-6746-7222
ＣＬＳＡ証券株式会社|関東財務局長(金商)第2699号|03-4578-8000
あおぞら投信株式会社|関東財務局長(金商)第2771号|03-6752-1050
