企業名,LP URL,広告種別,業種,電話番号,CRM確認,備考
FABRIC TOKYO,https://fabric-tokyo.com/lp/tokyo_suit_fbig,Meta,スーツEC・D2C,,,オーダースーツD2C・急成長
VALX（バルクス）,https://valx.jp/lp/wheyprotein/,Meta,プロテイン通販D2C,,,山本義徳監修・急成長D2C
LITALICOワンダー,https://wonder.litalico.jp/course/trial/,Meta,子ども向けSTEAM教育,,,全国90教室・上場グループ
カラダファクトリー,https://karada39.com/campaign/,Meta,整体・ストレッチサロン（FC）,,,全国700店超・FC展開
ホワイトニングカフェ,https://whiteningcafe.jp/campaign/,Meta,ホワイトニングサロン（FC）,,,全国250店超・急成長FC
ABCクッキングスタジオ,https://www.abc-cooking.co.jp/request/trial/lp/a/,Meta,料理教室（FC）,,,全国400教室超
ヒューマンアカデミーロボット教室,https://kids.athuman.com/robo/lp03/,Meta,ロボット教室FC,,,全国1000教室超・FC展開
EXPG,https://expg.jp/entry_trial,Meta,ダンス・エンタメスクール,,,全国展開・LDH系スクール
snaq.me,https://lp.snaq.me/,Meta,お菓子サブスクD2C,,,急成長D2Cサブスク
パーフェクトワン（新日本製薬）,https://lp.shinnihonseiyaku.co.jp/promotion/cosme/knspm/,Meta,スキンケア通販D2C,,,上場・売上100億超
Progate,https://www.lp.prog-8.com/professional-courses/top,Meta,プログラミング学習（オンライン）,,,有料プラン転換型・成長中
Relux,https://rlx.jp/lp/dp/,Meta,高級旅館・ホテル予約,,,Loco Partners運営・厳選型
フレイアクリニック,https://frey-a.jp/free-counseling/,Meta,医療脱毛クリニック,,,全国55院・急成長
サン・クロレラ,https://www.sunchlorella.co.jp/lp2021/,Meta,健康食品通販D2C,,,クロレラ特化・通販大手
ルルルン,https://lululun.com/lp?u=tabisuru,Meta,フェイスマスク通販D2C,,,急成長D2Cスキンケア
LEAN BODY,https://lp.lean-body.jp/,Meta,オンラインフィットネス（動画）,,,月額サブスク・急成長
英光ゼミナール,https://www.eikoh-seminar.com/lp/kobetsu/,Meta,学習塾・個別指導（FC）,,,全国展開・中堅塾
看護roo!,https://www.kango-roo.com/career/lp/hajimete/,Meta,看護師転職支援,,,エス・エム・エス運営・上場グループ
食宅便,https://shokutakubin.com/lp/recommend_09/,Meta,高齢者向け宅配弁当,,,日清医療食品運営・中規模
スタディング,https://studying.jp/top/lp/202207/index.html,Meta,オンライン資格学習,,,低価格帯・急成長
フォーサイト,https://www.foresight.jp/lp/fp/request/,Meta,通信資格講座,,,合格率高め・中堅
コアラマットレス,https://koala.com/ja-jp/mattresses/mattress,Meta,マットレスD2C（豪州発）,,,D2C急成長ブランド
FUJIMI（フジミ）,https://fujimi.me/lp/supplement,Meta,パーソナライズサプリD2C,,,AI診断型D2C・急成長
小学生コペル,https://copel.co.jp/lp_sp/,Meta,子ども向け算数教室（FC）,,,思考力特化・FC展開中
七田チャイルドアカデミー（七田式）,https://www.shichida.co.jp/shichipri/lp/,Meta,幼児教育（FC）,,,全国450教室・老舗FC
ポテパンキャンプ,https://camp.potepan.com/,Meta,Webエンジニア養成スクール,,,転職保証型・中規模
ハナユメ,https://hana-yume.net/landing/online/,Meta,結婚式相談・ウェディング,,,エス・エム・エス運営・上場グループ
スタジオ・ヨギー,https://www.studio-yoggy.com/welcome/,Meta,ヨガ・ピラティス（スタジオ）,,,全国30スタジオ超
ゴールドジム,https://www.goldsgym.jp/join/web,Meta,フィットネスクラブ（FC）,,,全国100店超・老舗
postCoffee,https://postcoffee.co/subscription/,Meta,コーヒーサブスクD2C,,,AI診断型・急成長D2C
ウィルAGAクリニック,https://will-agaclinic.com/lp/online_01/,Meta,AGAクリニック（オンライン）,,,オンライン特化・成長中
FEELCYCLE,https://m.feelcycle.com/lp/campaign/,Meta,暗闇バイクエクササイズスタジオ,,,全国30スタジオ・都市部展開
GREEN SPOON,https://green-spoon.jp/lp_special/all_0530120/,Meta,パーソナルフードD2C（スムージー）,,,急成長D2Cサブスク
湘南AGAクリニック,https://www.sbc-aga.jp/lp/cm-m/,Meta,AGA治療クリニック,,,湘南美容グループ系・全国展開
Dr.stretch（ドクターストレッチ）,https://doctorstretch.com/lp/1/,Meta,ストレッチ専門店（FC）,,,全国350店超・急成長FC
ワンダーボックス,https://box.wonderlabedu.com/lp/form/trial-app01/,Meta,子ども向けSTEAMアプリ（D2C）,,,WonderLab運営・急成長
ETVOS（エトヴォス）,https://etvos.com/smart/lp/starter/01/index_af.html,Meta,ミネラルコスメD2C,,,急成長D2C・上場
ohora（オホーラ）,https://ohora.co.jp/pages/lp02,Meta,ジェルネイルD2C（韓国発）,,,急成長D2Cブランド
聖心美容クリニック,https://www.biyougeka.com/,Meta,美容外科クリニック,,,全国20院・老舗
クリクラ,https://www.crecla.jp/campaign/lp001/,Meta,ウォーターサーバー（FC）,,,全国FC展開・中堅
チューリッヒ生命,https://www.zurichlife.co.jp/lp/index02,Meta,生命保険（ネット完結）,,,外資系・中規模
ラピラティス,https://la-pilates.jp/lp/yotsubashi/,Meta,ピラティス専門スタジオ（FC）,,,全国展開・成長中
大地を守る会,http://trial.daichi-m.co.jp/ad/lp-ota/,Meta,有機野菜宅配,,,オイシックス・ラ・大地グループ
スマートドック,https://smartdock.jp/lp/kanagawa,Meta,脳ドック予約サービス,,,全国展開・成長中
エアトリ,https://train.airtrip.jp/air-lp,Meta,旅行予約サービス,,,上場企業・総合旅行
クラブメッド,https://www.clubmed.co.jp/me/l/request-a-quote,Meta,オールインクルーシブリゾート,,,外資系・高単価旅行
