企業名,LP URL,広告種別,業種,電話番号,CRM確認,備考
早稲田アカデミー,https://www.wasedaac.co.jp/lp/,Meta,中学受験塾,,,首都圏展開・上場
日能研,https://www.nichinoken.co.jp/lp/,Meta,中学受験塾,,,全国展開・中堅
浜学園,https://www.hama-juku.jp/lp/,Meta,難関中学受験塾,,,近畿中心・全国展開
Kids Duo International,https://www.kidsduo-intl.com/lp/,Meta,子ども英語保育FC,,,全国展開・急成長
すらら,https://surala.jp/lp/,Meta,AI学習ドリル（不登校対応）,,,成長中・教育ITサービス
コミックシーモア,https://www.cmoa.jp/lp/,Meta,電子書籍サービス,,,NTTソルマーレ運営・中堅
BookLive（ブックライブ）,https://booklive.jp/lp/,Meta,電子書籍サービス,,,凸版印刷系・中堅
Re.Ra.Ku（リラク）,https://reraku.jp/lp/,Meta,リラクゼーションサロンFC,,,全国500店超・急成長FC
りらくる,https://www.rirakuru.jp/lp/,Meta,リラクゼーションサロンFC,,,全国700店超・急成長FC
てもみん,https://www.temomin.jp/lp/,Meta,リラクゼーションサロンFC,,,全国展開・中堅FC
GOLFTEC（ゴルフテック）,https://www.golftec.co.jp/lp/,Meta,ゴルフスクール（科学的コーチング）,,,全国展開・成長中
WAQ（ワック）,https://waq.co.jp/lp/,Meta,アウトドア用品D2C,,,急成長D2Cブランド
U-NEXT,https://video.unext.jp/lp/,Meta,動画配信（SVOD）,,,国内最大規模・上場
オープンハウス,https://oh.openhouse-group.com/lp/,Meta,不動産売買,,,上場・首都圏中心・急成長
コスモスイニシア,https://www.itochu-res.com/lp/,Meta,不動産分譲（マンション）,,,伊藤忠系・上場
スターツコーポレーション,https://www.starts.co.jp/lp/,Meta,不動産FC（ピタットハウス運営）,,,上場・全国FC展開
J:COM（ジェイコム）,https://www.jcom.co.jp/lp/,Meta,ケーブルTV・通信,,,全国展開・中堅
Goo-net（グーネット）,https://www.goo-net.com/lp/,Meta,中古車情報・売却,,,パナソニック系
SOMPOひまわり生命,https://www.sompohimawari.co.jp/lp/,Meta,生命保険（外資系中堅）,,,SOMPO系
朝日生命保険,https://www.asahi-life.co.jp/lp/,Meta,生命保険（中堅）,,,国内中堅生保
NOVARESE（ノバレーゼ）,https://www.novarese.jp/lp/,Meta,ウェディングドレス・ブライダル,,,全国展開・中堅
TAKAMI BRIDAL（タカミブライダル）,https://www.takami-bridal.com/lp/,Meta,ブライダルサロン,,,全国展開・成長中
ドレスガーデン,https://www.dressgarden.jp/lp/,Meta,ウェディングドレスレンタル,,,全国展開FC
Dine（ダイン）,https://dine.app/lp/,Meta,デートマッチングアプリ,,,急成長スタートアップ
YYC,https://yyc.jp/lp/,Meta,出会いサービス,,,DeNA系・中堅
ベルコ,https://www.bellco.net/lp/,Meta,葬儀FC,,,全国展開・中堅
はせがわ,https://www.hasegawa.jp/lp/,Meta,仏壇・仏具・葬儀,,,全国展開・老舗
ネクスパート法律事務所,https://nexpert-law.com/lp/,Meta,借金整理・過払い金,,,急成長・デジタルマーケ強み
ひばり法律事務所,https://hibari-law.com/lp/,Meta,借金整理特化,,,成長中
杉山法律事務所,https://sugiyama-lo.jp/lp/,Meta,過払い金・借金整理特化,,,中規模
ビオマルシェ,https://www.biomarche.jp/lp/,Meta,有機野菜宅配,,,有機JAS認証・中堅
PETOKOTO（ペトコト）,https://petokoto.com/lp/,Meta,ペットフードD2C,,,急成長D2Cブランド
美酢（ミチョ）,https://micho.co.jp/lp/,Meta,お酢ドリンクD2C（韓国発）,,,急成長D2Cブランド
ニチイケアセンター,https://www.nichiikare.jp/lp/,Meta,介護老人保健施設FC,,,ニチイ学館系・全国
ヘアビューロン（リュミエリーナ）,https://lumielina.jp/lp/,Meta,ヘアアイロンD2C,,,高単価・急成長D2C
DECENCIA（ディセンシア）,https://www.decencia.co.jp/lp/,Meta,敏感肌スキンケアD2C,,,資生堂系・成長中
ROSETTE（ロゼット）,https://www.rosette.co.jp/lp/,Meta,スキンケア通販D2C,,,老舗ブランド・EC強化中
ちふれ化粧品,https://www.chifure.co.jp/lp/,Meta,化粧品通販（低価格帯）,,,生協系・全国展開
SABON（サボン）,https://www.sabon.co.jp/lp/,Meta,オーガニックコスメD2C（イスラエル発）,,,急成長D2C・日本展開
Dcollection（ディーコレクション）,https://www.d-collection.jp/lp/,Meta,低身長メンズアパレルD2C,,,急成長D2Cブランド
PEACH JOHN（ピーチジョン）,https://www.peachjohn.co.jp/lp/,Meta,ランジェリー・ルームウェアEC,,,ヤフーグループ・中堅
Francfranc（フランフラン）,https://francfranc.com/lp/,Meta,雑貨・インテリアEC,,,全国展開・EC強化中
unico（ウニコ）,https://www.unico-fan.co.jp/lp/,Meta,家具・インテリアD2C,,,成長中D2C
