企業名,LP URL,広告種別,業種,電話番号,CRM確認,備考
おち夢クリニック名古屋,https://www.art-ochi.com/,Meta,不妊治療クリニック,,,
時短転職のリアルミーキャリア,https://www.realme-career.com/,Meta,人材/転職エージェント,,,
株式会社フル・プラス,https://www.fullplus.co.jp/seminar/,Meta,不動産（空き家・土地活用）,,,
蓄電supporter.com,https://chikuden-supporter.com/,Meta,太陽光・蓄電池,,,
DEED personal training gym,https://deed-gym.com/,Meta,フィットネス（パーソナルジム）,,,
ジムカリ不動産,http://www.gymkari-fudosan.com/,Meta,不動産（ジム特化）,,,
株式会社ヨネダ（YSS建築）,https://www.yonedagumi.com/yss/,Meta,工場・倉庫建築,,,
テナント情報局（株式会社Laplus）,https://www.tenant-jyouhou.com/,Meta,テナント不動産,,,
NEXUS CLINIC,https://nexusclinic.jp/,Meta,美容クリニック（二重整形）,,,
ＹＫホーム,https://www.yk-home.co.jp/,Meta,注文住宅,,,
セブ島留学センター,https://www.ryugaku-onebridge.com/,Meta,フィリピン留学エージェント,,,
バリアフリー旅行.com,https://barrierfree.t-life.co.jp/,Meta,介護旅行専門,,,
ウェディングニュース,https://www.weddingnews.jp/,Meta,ブライダル情報サービス,,,"大手プラットフォーム、代理店入り可能性あり"
バイセル,https://buysell-kaitori.com/,Meta,買取業,,,"東証上場企業、代理店入り可能性高"
弁護士・税理士 谷原誠,https://taniharamakoto.com/,Meta,法律事務所（個人ブランド）,,,
株式会社トピック,https://kk-topic.jp/,Meta,運送・レンタカー（群馬）,,,"規模確認要"
