企業名,LP URL,広告種別,業種,電話番号,CRM確認,備考
買取大吉フランチャイズ,https://www.kaitori-daikichi.jp/fc/,Meta,リサイクル・買取（FC）,,,
アガルートアカデミー,https://www.agaroot.jp/,Meta,資格試験通信講座,,,
Lirico リリコランドセル,https://www.lirico.co.jp/,Meta,ランドセル（D2C）,,,
訪問看護ステーションリーフ,https://reaf-mp.com/lp/03/,Meta,訪問看護（FC）,,,
BEYOND パーソナルジム,https://beyond-gym.com/,Meta,フィットネス（パーソナルジム）,,,
かたぎり塾,https://katagirijuku-lp.com/,Meta,フィットネス（パーソナルジム）,,,
Reborn Myself,https://reborn-myself.com/,Meta,フィットネス（パーソナルジム）,,,
ミュゼプラチナム,https://musee-pla.com/,Meta,脱毛サロン,,,
パートナーエージェント,https://www.p-a.jp/,Meta,結婚相談所,,,成婚率No.1
よりそうお葬式,https://www.yoriso.com/sogi/,Meta,葬儀・家族葬,,,
げんき堂整骨院,https://www.genkido-s.com/lp/genkidofc/,Meta,整骨院（FC）,,,全国200店舗超
RIZAP,https://www.rizap.jp/,Meta,パーソナルジム,,,上場企業
スマイルゼミ,https://smile-zemi.jp/shogaku/lp/act/,Meta,タブレット通信教育,,,ジャストシステム系
24/7ワークアウト,https://247-workout.jp/,Meta,パーソナルジム,,,全国90店舗超
小さなお葬式,https://www.osohshiki.jp/,Meta,葬儀・家族葬,,,大手葬儀プラットフォーム
IBJ 日本結婚相談所連盟,https://www.ibjapan.jp/,Meta,結婚相談所,,,業界最大手・上場
TCB東京中央美容外科,https://aoki-tsuyoshi.com/,Meta,美容クリニック（整形）,,,全国109院
プレミアムウォーター,https://premium-water.net/,Meta,ウォーターサーバー,,,上場企業
テックキャンプ,https://tech-camp.in/,Meta,プログラミングスクール,,,
Oisix,https://www.oisix.com/,Meta,食材宅配（ミールキット）,,,上場企業
湘南美容クリニック,https://www.s-b-c.net/datsumo/,Meta,医療脱毛・美容外科,,,全国100院以上
nosh,https://nosh.jp/,Meta,宅配弁当（ダイエット）,,,
タウンライフ家づくり,https://www.town-life.jp/home/,Meta,注文住宅一括見積,,,
保険見直しラボ,https://www.hoken-minaoshi-lab.jp/,Meta,保険相談,,,
DMM英会話,https://eikaiwa.dmm.com/,Meta,オンライン英会話,,,大手DMMグループ
アクアクララ,https://www.aquaclara.co.jp/,Meta,ウォーターサーバー,,,
リネット,https://www.lenet.jp/,Meta,宅配クリーニング,,,会員55万人超
ビズリーチ,https://www.bizreach.jp/,Meta,転職（ハイクラス）,,,上場企業
