企業名,LP URL,広告種別,業種,電話番号,CRM確認,備考
ホットヨガスタジオLAVA,https://yoga-lava.com/,Meta,ホットヨガスタジオ（FC）,,,全国480店舗超
ライザップゴルフ,https://www.rizap-golf.jp/,Meta,ゴルフスクール,,,RIZAP系
Gabaマンツーマン英会話,https://www.gaba.co.jp/,Meta,英会話スクール,,,マンツーマン特化
オーネット,https://onet.co.jp/,Meta,結婚相談所,,,住友生命グループ
エニタイムフィットネス,https://www.anytimefitness.co.jp/,Meta,フィットネスクラブ（FC）,,,24時間・全国1000店超
カーブス,https://www.curves.co.jp/,Meta,女性専用フィットネス（FC）,,,全国2000店超
ゴルフパートナー,https://www.golfpartner.co.jp/,Meta,中古ゴルフ用品,,,全国280店超
ECC外語学院,https://www.ecc.co.jp/,Meta,英会話スクール,,,大手英会話
ネイティブキャンプ,https://nativecamp.net/,Meta,オンライン英会話,,,月額定額・24時間レッスン
プログリット,https://www.progrit.co.jp/,Meta,英語コーチング,,,上場企業
城本クリニック,https://www.shiromoto-cl.com/,Meta,美容クリニック,,,全国65院
品川スキンクリニック,https://www.shinagawa.com/,Meta,美容クリニック,,,全国35院超
エミナルクリニック,https://eminal-clinic.jp/,Meta,医療脱毛クリニック,,,全国100院超
キレイモ,https://www.kireimode.jp/,Meta,脱毛サロン,,,全国50店超
TBCグループ,https://www.tbc.co.jp/,Meta,美容脱毛サロン,,,老舗・全国80店超
リノシー,https://renosy.com/,Meta,不動産投資,,,上場企業（GA technologies）
武蔵コーポレーション,https://www.musashi-corporation.com/,Meta,不動産投資,,,中古アパート特化
シノケングループ,https://www.shinoken.co.jp/,Meta,不動産投資（FC）,,,上場企業
エイブル,https://www.able.co.jp/,Meta,賃貸仲介,,,全国900店超
ミニミニ,https://www.minimini.jp/,Meta,賃貸仲介（FC）,,,全国400店超
ひかリノベ,https://www.hika-reno.jp/,Meta,リノベーション,,,中古×リノベ特化
外壁塗装の窓口,https://www.gaiheki-madoguchi.jp/,Meta,外壁塗装一括見積,,,
JAIC（ジェイック）,https://www.jaic-g.com/,Meta,就職支援,,,フリーター・既卒特化
ハタラクティブ,https://hataractive.jp/,Meta,若者向け転職支援,,,レバレジーズ運営
ウズキャリ,https://uzuz.jp/,Meta,第二新卒・既卒転職,,,IT業界特化
マネードクター,https://www.moneydoctor.jp/,Meta,保険相談,,,全国1200店超
保険見直し本舗,https://www.hoken-minaoshi.com/,Meta,保険相談,,,全国1000店超
SBI生命保険,https://www.sbisumishinlb.co.jp/,Meta,ネット生命保険,,,SBIグループ
楽天カード,https://www.rakuten-card.co.jp/,Meta,クレジットカード,,,会員数3000万超・上場
セゾンカード,https://www.saisoncard.co.jp/,Meta,クレジットカード,,,クレディセゾン・上場
イオンカード,https://www.aeon.co.jp/card/,Meta,クレジットカード,,,流通系大手
じゃらんnet,https://www.jalan.net/,Meta,旅行・宿泊予約,,,リクルート系
一休.com,https://www.ikyu.com/,Meta,高級ホテル・旅館予約,,,ヤフーグループ
楽天トラベル,https://travel.rakuten.co.jp/,Meta,旅行予約,,,楽天グループ
ヨシケイ,https://www.yoshikei-dvlp.co.jp/,Meta,ミールキット宅配,,,全国展開
ワタミの宅食,https://www.watami-takushoku.co.jp/,Meta,宅配弁当,,,ワタミグループ
食べチョク,https://www.tabechoku.com/,Meta,産直食品EC,,,上場企業
らでぃっしゅぼーや,https://www.radishbo-ya.co.jp/,Meta,有機野菜宅配,,,オイシックス・ラ・大地グループ
UQモバイル,https://www.uqwimax.jp/mobile/,Meta,格安スマホ,,,KDDI系
Y!mobile,https://www.ymobile.jp/,Meta,格安スマホ,,,ソフトバンク系
楽天モバイル,https://network.mobile.rakuten.co.jp/,Meta,格安スマホ,,,楽天グループ
mineo,https://mineo.jp/,Meta,格安SIM,,,オプテージ運営
タップル,https://tapple.me/,Meta,マッチングアプリ,,,サイバーエージェント系
Omiai,https://matching.omiai.jp/,Meta,マッチングアプリ,,,上場企業
エン婚活エージェント,https://en-konkatsu.com/,Meta,婚活エージェント,,,エン・ジャパン系
司法書士法人みつ葉グループ,https://mitsuba-g.com/,Meta,過払い金・借金整理,,,
SHElikes（シーライクス）,https://shelikes.jp/,Meta,女性向けスキルスクール,,,
デジタルハリウッド,https://www.dhw.co.jp/,Meta,デジタルクリエイタースクール,,,
デジハク,https://digi-haku.com/,Meta,動画編集スクール,,,
ベアーズ,https://www.happy-bears.com/,Meta,家事代行,,,上場企業
カジタク,https://www.kajitaku.com/,Meta,家事代行・宅配クリーニング,,,ヤフーグループ
せんたく便,https://www.sentakubin.co.jp/,Meta,宅配クリーニング,,,
ブランディア,https://brandear.jp/,Meta,ブランド品宅配買取,,,
KOMEHYO,https://www.komehyo.co.jp/,Meta,ブランド品買取・販売,,,名古屋発・老舗
バイク王,https://www.bikeo.jp/,Meta,バイク買取,,,上場企業
再春館製薬所,https://www.saishunkan.co.jp/,Meta,化粧品通販（D2C）,,,ドモホルンリンクル
ドクターシーラボ,https://www.ci-labo.com/,Meta,化粧品通販（D2C）,,,
えがおの健康,https://www.egao.co.jp/,Meta,健康食品通販,,,
プロアクティブ,https://www.proactiv.jp/,Meta,ニキビケア通販,,,
やずや,https://www.yazuya.com/,Meta,健康食品通販,,,九州発・大手
SBI証券,https://www.sbisec.co.jp/,Meta,ネット証券,,,口座数1000万超・上場
松井証券,https://www.matsui.co.jp/,Meta,ネット証券,,,上場企業
マネックス証券,https://www.monex.co.jp/,Meta,ネット証券,,,上場企業
ARUHI,https://www.aruhi-corp.co.jp/,Meta,住宅ローン専門銀行,,,上場企業
ティア,https://www.tear.co.jp/,Meta,葬儀（FC）,,,上場企業・全国250社超
AGAスキンクリニック,https://www.aga-sc.jp/,Meta,AGA治療クリニック,,,全国100院超
クリニックフォア,https://clinicfor.life/,Meta,オンライン診療,,,
ネクステージ,https://www.nextage.jp/,Meta,中古車販売,,,上場企業・全国200店超
ガリバー（IDOM）,https://221616.com/,Meta,中古車買取・販売,,,上場企業
日本通運（引越し）,https://www.nittsu.co.jp/hikkoshi/,Meta,引越し,,,大手・上場
ヤマトホームコンビニエンス,https://www.008008.jp/,Meta,引越し,,,ヤマトグループ
メンズTBC,https://mtbc.jp/,Meta,メンズ脱毛サロン,,,TBCグループ系
ZOZO,https://zozo.jp/,Meta,ファッションEC,,,上場企業
エアークローゼット,https://www.air-closet.com/,Meta,ファッションサブスク,,,上場企業
SOELU,https://www.soelu.com/,Meta,オンラインフィットネス,,,
PS保険（ペット）,https://www.pshoken.co.jp/,Meta,ペット保険,,,SBIグループ系
ランサーズ,https://www.lancers.jp/,Meta,クラウドソーシング,,,上場企業
クラウドワークス,https://crowdworks.jp/,Meta,クラウドソーシング,,,上場企業
税理士法人レガシィ,https://www.legacy-tax.com/,Meta,相続税・相続手続き,,,相続専門大手
タイムズカー,https://share.timescar.jp/,Meta,カーシェア,,,業界最大手
ゼクシィ,https://zexy.net/,Meta,ブライダル情報サービス,,,リクルート系
LIFULL介護,https://kaigo.homes.co.jp/,Meta,老人ホーム・介護施設紹介,,,LIFULLグループ
ルネサンス,https://www.s-renaissance.co.jp/,Meta,フィットネスクラブ,,,上場企業
アルペン,https://ec.alpen.co.jp/,Meta,スポーツ用品EC,,,上場企業
ロコンド,https://www.locondo.jp/,Meta,靴・ファッションEC,,,上場企業
まごころ弁当,https://www.magokoro-bento.com/,Meta,高齢者向け宅配弁当,,,シルバーライフ運営・FC
FWD富士生命,https://www.fwdlife.co.jp/,Meta,生命保険（オンライン完結）,,,外資系生保
オリックスレンタカー,https://car.orix.co.jp/,Meta,レンタカー,,,上場・全国270店超
ハウスコム,https://www.housecom.jp/,Meta,賃貸仲介,,,上場企業
キャリアチケット,https://career-ticket.jp/,Meta,新卒就活支援,,,レバレジーズ運営
ポケットマルシェ,https://poke-m.com/,Meta,産直食品EC,,,産地直送特化
富士フイルムヘルスケア,https://fujifilm-healthcare.co.jp/,Meta,機能性サプリ通販,,,富士フイルムグループ
メンズエミナルクリニック,https://mens.eminal-clinic.jp/,Meta,メンズ医療脱毛,,,
ゴルフダイジェスト・オンライン,https://www.golfdigest.co.jp/,Meta,ゴルフEC・予約,,,業界最大手
ラ・パルレ,https://www.la-parler.com/,Meta,エステサロン（痩身美容）,,,全国展開
アイリスオーヤマ,https://www.irisohyama.co.jp/,Meta,家電・生活雑貨EC,,,非上場大手
スパルタ英会話,https://sparta-english.com/,Meta,英会話スクール,,,短期集中型
ウィルオブ・ワーク,https://willof-work.co.jp/,Meta,人材派遣・就職支援,,,
アクサダイレクト,https://www.axa-direct.co.jp/,Meta,自動車保険（ネット完結）,,,外資系大手
